REF_DATE,GEO,DGUID,Capital and repair expenditures,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Construction [23],Dollars,81,millions,6,v95923996,2.3.13,39.5,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95923997,2.3.14,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95924008,2.3.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95924012,2.3.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95924013,2.3.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95924014,2.3.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment",Transportation and warehousing [48-49],Dollars,81,millions,6,v95924022,2.3.39,90.4,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Capital, machinery and equipment","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95924026,2.3.43,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95924046,2.4.9,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95924048,2.4.11,9.1,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Construction [23],Dollars,81,millions,6,v95924050,2.4.13,46.2,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95924051,2.4.14,61.5,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95924062,2.4.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Primary metal manufacturing [331],Dollars,81,millions,6,v95924066,2.4.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95924067,2.4.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Machinery manufacturing [333],Dollars,81,millions,6,v95924068,2.4.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,Transportation and warehousing [48-49],Dollars,81,millions,6,v95924076,2.4.39,69.2,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,Repair expenditures,"Professional, scientific and technical services [54]",Dollars,81,millions,6,v95924080,2.4.43,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Oil and gas extraction [211],Dollars,81,millions,6,v95924100,2.5.9,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95924102,2.5.11,0.1,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Construction [23],Dollars,81,millions,6,v95924104,2.5.13,2.4,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Manufacturing [31-33],Dollars,81,millions,6,v95924105,2.5.14,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95924116,2.5.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Primary metal manufacturing [331],Dollars,81,millions,6,v95924120,2.5.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95924121,2.5.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Machinery manufacturing [333],Dollars,81,millions,6,v95924122,2.5.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction",Transportation and warehousing [48-49],Dollars,81,millions,6,v95924130,2.5.39,6.0,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, construction","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95924134,2.5.43,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Oil and gas extraction [211],Dollars,81,millions,6,v95924154,2.6.9,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment","Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95924156,2.6.11,9.0,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Construction [23],Dollars,81,millions,6,v95924158,2.6.13,43.8,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Manufacturing [31-33],Dollars,81,millions,6,v95924159,2.6.14,,x,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Petroleum and coal product manufacturing [324],Dollars,81,millions,6,v95924170,2.6.25,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Primary metal manufacturing [331],Dollars,81,millions,6,v95924174,2.6.29,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Fabricated metal product manufacturing [332],Dollars,81,millions,6,v95924175,2.6.30,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Machinery manufacturing [333],Dollars,81,millions,6,v95924176,2.6.31,,..,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment",Transportation and warehousing [48-49],Dollars,81,millions,6,v95924184,2.6.39,63.2,,,,1,2006
2006,Newfoundland and Labrador,2021A000210,"Repair, machinery and equipment","Professional, scientific and technical services [54]",Dollars,81,millions,6,v95924188,2.6.43,,x,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Oil and gas extraction [211],Dollars,81,millions,6,v95926152,9.1.9,2315.0,,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,"Support activities for mining, and oil and gas extraction [213]",Dollars,81,millions,6,v95926154,9.1.11,69.2,,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Construction [23],Dollars,81,millions,6,v95926156,9.1.13,89.1,,,,1,2006
2006,Saskatchewan,2021A000247,Capital expenditures,Manufacturing [31-33],Dollars,81,millions,6,v95926157,9.1.14,413.6,,,,1,2006
